Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreateVessel,Chrome 63.0.3239.132,,2018-01-12 10:25:10,2018-01-12 10:31:32,"6m - 21,908s",FAILED
,,,,,,
Test Cases/Work/Vessel/1. Create New Vessel,Chrome 63.0.3239.132,,2018-01-12 10:25:12,2018-01-12 10:26:15,"1m - 3,332s",PASSED
callTestCase,Chrome 63.0.3239.132,\u0412\u0445\u043E\u0434\u0438\u043C \u0432 \u0441\u0438\u0441\u0442\u0435\u043C\u0443,2018-01-12 10:25:12,2018-01-12 10:25:45,"32,825s",PASSED
click,Chrome 63.0.3239.132,\u041F\u0435\u0440\u0435\u0445\u043E\u0434\u0438\u043C \u0441 \u0441\u043E\u0441\u0443\u0434\u044B,2018-01-12 10:25:45,2018-01-12 10:25:48,"2,517s",PASSED
waitForJQueryLoad,Chrome 63.0.3239.132,,2018-01-12 10:25:48,2018-01-12 10:25:53,"5,236s",PASSED
click,Chrome 63.0.3239.132,\u0412\u044B\u0437\u044B\u0432\u0430\u0435\u043C \u043E\u043A\u043D\u043E \u0434\u043E\u0431\u0430\u0432\u043B\u0435\u043D\u0438\u044F \u0421\u043E\u0441\u0443\u0434\u043E\u0432,2018-01-12 10:25:53,2018-01-12 10:25:54,"0,657s",PASSED
verifyElementText,Chrome 63.0.3239.132,,2018-01-12 10:25:54,2018-01-12 10:25:55,"1,284s",PASSED
click,Chrome 63.0.3239.132,"\u0412\u044B\u0431\u0438\u0440\u0430\u0435\u043C \u0438\u043D\u0442\u0435\u0440\u0444\u0435\u0439\u0441 \""\u0414\u0440\u0443\u0433\u0438\u0435\""",2018-01-12 10:25:55,2018-01-12 10:25:56,"0,775s",PASSED
delay,Chrome 63.0.3239.132,,2018-01-12 10:25:56,2018-01-12 10:25:59,"3,020s",PASSED
click,Chrome 63.0.3239.132,\u041A\u043B\u0438\u043A \u043D\u0430 select,2018-01-12 10:25:59,2018-01-12 10:25:59,"0,174s",PASSED
delay,Chrome 63.0.3239.132,,2018-01-12 10:25:59,2018-01-12 10:26:02,"3,003s",PASSED
click,Chrome 63.0.3239.132,\u0412 \u0432\u044B\u043F\u0430\u0434\u0430\u044E\u0449\u0435\u043C \u0441\u043F\u0438\u0441\u043A\u0435 \u0432\u044B\u0431\u0438\u0440\u0430\u0435\u043C \u0410\u0412\u0422-4,2018-01-12 10:26:02,2018-01-12 10:26:02,"0,169s",PASSED
setText,Chrome 63.0.3239.132,\u0417\u0430\u043F\u043E\u043B\u043D\u044F\u0435\u043C \u043F\u043E\u0437\u0438\u0446\u0438\u044E \u0438\u0437 \u043F\u0435\u0440\u0435\u043C\u0435\u043D\u043D\u043E\u0439,2018-01-12 10:26:02,2018-01-12 10:26:10,"7,818s",PASSED
click,Chrome 63.0.3239.132,\u0414\u043E\u0431\u0430\u0432\u043B\u044F\u0435\u043C \u0441\u043E\u0441\u0443\u0434,2018-01-12 10:26:10,2018-01-12 10:26:12,"1,953s",PASSED
delay,Chrome 63.0.3239.132,,2018-01-12 10:26:12,2018-01-12 10:26:15,"3,002s",PASSED
closeBrowser,Chrome 63.0.3239.132,\u0417\u0430\u043A\u0440\u044B\u0432\u0430\u0435\u043C \u0431\u0440\u0430\u0443\u0437\u0435\u0440,2018-01-12 10:26:15,2018-01-12 10:26:15,"0,002s",NOT_RUN
,,,,,,
Test Cases/Work/Vessel/3. FillingOperatingParameters,Chrome 63.0.3239.132,,2018-01-12 10:26:15,2018-01-12 10:31:31,"5m - 15,673s",FAILED
comment,Chrome 63.0.3239.132,,2018-01-12 10:26:15,2018-01-12 10:26:15,"0,011s",PASSED
callTestCase,Chrome 63.0.3239.132,,2018-01-12 10:26:15,2018-01-12 10:26:44,"28,530s",PASSED
comment,Chrome 63.0.3239.132,,2018-01-12 10:26:44,2018-01-12 10:26:44,"0,002s",PASSED
callTestCase,Chrome 63.0.3239.132,,2018-01-12 10:26:44,2018-01-12 10:29:59,"3m - 15,558s",PASSED
comment,Chrome 63.0.3239.132,,2018-01-12 10:29:59,2018-01-12 10:29:59,"0,003s",PASSED
callTestCase,Chrome 63.0.3239.132,,2018-01-12 10:29:59,2018-01-12 10:30:58,"58,442s",PASSED
comment,Chrome 63.0.3239.132,,2018-01-12 10:30:58,2018-01-12 10:30:58,"0,001s",PASSED
callTestCase,Chrome 63.0.3239.132,,2018-01-12 10:30:58,2018-01-12 10:31:31,"32,801s",FAILED
